delta_ms,Delta_ms,b_s_mm2,n,min,q05,q25,median,q75,q95,max,mean
15.0,40.0,2500.0,39,0.00021725257064920096,0.00022514202053524436,0.00025372323473919696,0.00028578644444313584,0.00035235235449863325,0.00042296300169352493,0.0004565344140486747,0.0003034612677913066
15.0,40.0,3000.0,39,0.00020604036494712393,0.00020867547014136902,0.00024175643557708095,0.00027568121841351585,0.0003164079618050052,0.0003720409286448567,0.00040412203751383777,0.0002810522329356442
15.0,40.0,3500.0,39,0.00019512133397849913,0.00020008260009875668,0.00023575982080022495,0.0002606823650254084,0.000289014210129056,0.0003298424227166766,0.00035851966610645885,0.00026182143396275047
15.0,40.0,4000.0,39,0.00018680771205058444,0.00019761288938172477,0.00022509093504101846,0.0002420470341212133,0.00027368453150637857,0.0003046075526346661,0.0003203064479304744,0.0002474042450999434
15.0,40.0,4500.0,39,0.00018655792967981846,0.00019479797174437212,0.00021363862020154834,0.00023244619338938784,0.000256400987425546,0.0002925834141470282,0.00030504267553956715,0.00023738427739460868
15.0,40.0,5000.0,39,0.00017907015404678643,0.0001961040772997442,0.00020714939423027994,0.00023077092068892195,0.0002430319139125009,0.0002885908042611021,0.0003020589988355778,0.0002304055229097749
15.0,40.0,5500.0,39,0.0001746497624287515,0.00018228770837205218,0.00020812262511320332,0.00022818791729165464,0.00023516371852787027,0.0002824500846615408,0.00029720069866624857,0.00022527550246049299
15.0,40.0,6000.0,39,0.00016474073413757273,0.00017487786688396203,0.00020701170350137098,0.0002229238703786554,0.0002355108140878861,0.0002754758844914312,0.0002925740554368472,0.00022137525399807136
15.0,40.0,6500.0,39,0.0001556814263437297,0.000174108193748766,0.00020465981246149358,0.00021830578180709188,0.00023616011234550474,0.00026894435263026333,0.00028818275091957397,0.0002183924741517688
15.0,40.0,7000.0,39,0.00015342253627188482,0.0001694908290117136,0.00020164742555687807,0.00021305781783541,0.00023614407179100894,0.00026164489610274653,0.0002821745074083699,0.00021592484014184977
15.0,40.0,7500.0,39,0.00015517279574350911,0.00016830836225393094,0.0001971110287178118,0.00020983529188823587,0.00023558170720867707,0.00025212718647478705,0.0002725670184976816,0.00021342923005889005
15.0,40.0,8000.0,39,0.00015815120446208277,0.000169109450154086,0.0001938760626104014,0.00020771396879306044,0.00023367550919667417,0.0002456474806282291,0.0002586096005733694,0.00021049695161222537
15.0,40.0,8500.0,39,0.000161760100946101,0.0001707623665567397,0.00018933216868346,0.00020563930702353794,0.00022648137737930256,0.00023919844603997376,0.0002411437453135305,0.000207107782783019
15.0,40.0,9000.0,39,0.0001653652169739939,0.00017260842065329883,0.00018676581250509807,0.00020451924546660577,0.00022018317696993224,0.0002324541048046929,0.0002430513532183024,0.00020361989721607042
15.0,40.0,9500.0,39,0.00016844421940848272,0.0001737595150691681,0.00018714017412945855,0.00019996947392307806,0.00021345967911879778,0.00023141392466490292,0.0002466690994259676,0.00020053404689975395
15.0,40.0,10000.0,39,0.0001703228187913026,0.00017383210176217395,0.0001820430610536217,0.00019572397453074467,0.0002096613711328597,0.0002331792496041986,0.0002493098860862217,0.00019823908420557625
15.0,40.0,10500.0,39,0.00016228679127773264,0.00016968581759081033,0.00018104415725840687,0.00019371827196304595,0.00020822008232845317,0.00023453094996929452,0.000250568943243758,0.00019690572415670786
15.0,40.0,11000.0,39,0.00015407474863012773,0.0001672888511603101,0.00017998018973643874,0.00019204494451067222,0.0002119650031936811,0.00023567496070090043,0.00025023110631253723,0.00019653302592370118
15.0,40.0,11500.0,39,0.00015005782494880443,0.0001642034003431174,0.00017940316255625656,0.00019088444209033157,0.00021775409636016026,0.00023422172377844831,0.0002482721134455288,0.00019703861826014498
15.0,40.0,12000.0,39,0.00014894098992529334,0.00016136711199118408,0.000178913030112901,0.00019209684677597548,0.00022294090283848158,0.00023780582728544184,0.00024482993654274755,0.00019830169860411627
20.0,50.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,50.0,500.0,39,0.00014641463338115765,0.0001630771794183865,0.00020659028313004072,0.0002292863182492376,0.0002714020355964439,0.0003903789192609266,0.0003926541340622002,0.00025256793104755376
20.0,50.0,1000.0,39,0.00017598728164716762,0.00018430355231637764,0.00024828774953794953,0.00027485097099137355,0.0003566418472153966,0.0005034936284349398,0.0005169151668470057,0.00030975085214694846
20.0,50.0,1500.0,39,0.0001994743115866689,0.00020691886934753257,0.0002646962071529888,0.0002794036269936543,0.0003674624562343174,0.000516970944184546,0.0005371523495843173,0.00031903358737194246
20.0,50.0,2000.0,39,0.0002180088458070866,0.00022005902921102147,0.00026200792399651675,0.0002843018845043324,0.0003485783734431667,0.00048760929017300944,0.000513486671865725,0.00030960313164666653
20.0,50.0,2500.0,39,0.0001965420732806623,0.0002252873760107212,0.00025265429044228475,0.00028216972298381044,0.0003228771035768902,0.0004420973251770715,0.00047134671715233555,0.00029196324731818835
20.0,50.0,3000.0,39,0.00018385055531247864,0.00021681051375111774,0.00023469392905463548,0.0002643323787511052,0.0002949658358638215,0.00039284223264831,0.0004231090865464557,0.0002724012400248355
20.0,50.0,3500.0,39,0.00017927021780041178,0.000204787594259809,0.00022687656451540926,0.000251752701980163,0.0002771497529972858,0.0003461267792772649,0.00037599733211305254,0.0002545497159739536
20.0,50.0,4000.0,39,0.00017580137925556825,0.00018782352344299226,0.00021744795061418758,0.00023662261445489107,0.0002649236898524048,0.00030550264380285546,0.0003345367130088011,0.00024003562038586758
20.0,50.0,4500.0,39,0.00017111525820466878,0.00017442443521760293,0.00020220979877673891,0.00023196946650172673,0.0002539068759405168,0.0002817735562339068,0.000301083568260847,0.00022937434995758734
20.0,50.0,5000.0,39,0.00016773511249671476,0.0001692206565375381,0.00019400318387201808,0.0002251821134359955,0.0002478934904565312,0.0002850839866629183,0.0002879388494040866,0.00022237578076648645
20.0,50.0,5500.0,39,0.00016604998238577435,0.00016772339252797637,0.0001862867173518141,0.00022302241508808223,0.00023937511699277566,0.0002836322207201929,0.00029220862541324487,0.00021819199870928542
20.0,50.0,6000.0,39,0.00016205454812105385,0.00016963238099220994,0.00018177070229031826,0.00022166965308449574,0.00023678782831757596,0.00027979949008143643,0.0002931060355267752,0.0002156879363008799
20.0,50.0,6500.0,39,0.00015848668591337143,0.00016595627343016364,0.00018705804570060626,0.00021659054427429906,0.0002370735272577771,0.00027468232479131325,0.00029080154621711763,0.00021396334538718517
20.0,50.0,7000.0,39,0.00015602942288116758,0.00016004559733736066,0.00019222657973657432,0.00021432559232398285,0.00023244552950153354,0.0002679242182052821,0.000285710334505662,0.00021254900303241931
20.0,50.0,7500.0,39,0.00015539872604078381,0.00015784749690589273,0.0001932979117197565,0.00021061909962538669,0.00022571811778763378,0.0002574927902945082,0.00027820506099691115,0.00021129678622970453
20.0,50.0,8000.0,39,0.00015335544677387168,0.00015956966038351556,0.00019516483514399628,0.00020802991073856926,0.00022710822412857465,0.0002539430616739361,0.0002686557106483051,0.00021020623317487332
20.0,50.0,8500.0,39,0.0001545705361607132,0.0001628162817027007,0.00019284221878212722,0.00020708618361836996,0.00022969628047511301,0.0002527501145861065,0.0002575238857211192,0.00020931019912096997
20.0,50.0,9000.0,39,0.00015861005407181368,0.00016749299140132975,0.00018890006938688262,0.00020613673658192015,0.0002280307456635693,0.00024621379026934146,0.00025357642352343305,0.00020861400650140042
20.0,50.0,9500.0,39,0.0001646123090665218,0.0001718436940324001,0.000190579924058542,0.0002075428047917367,0.0002244857539202008,0.0002453362755088431,0.00025445844304682687,0.00020806365884218733
20.0,50.0,10000.0,39,0.0001702207975054963,0.00017171489352150896,0.00018948204776634054,0.00020727854720090742,0.00022074421938417428,0.0002450384109534369,0.00025568931488938494,0.00020755859007295292
20.0,50.0,10500.0,39,0.00016648607370691015,0.00017536534228185257,0.00018768646431666463,0.00020618724197957446,0.0002265929650596654,0.00024579014423804985,0.0002574750113137826,0.00020701830157013665
20.0,50.0,11000.0,39,0.00016349067091425855,0.00017606878065383285,0.00018587701650669763,0.00020356013668651972,0.00022544387723191697,0.0002477990230330966,0.0002598791056659967,0.0002064615525960771
